algorithm,vertices,edges,run,time_ms
BFS,50,150,1,5.5023
DFS,50,150,1,2.7187
Dijkstra,50,150,1,7.1926
Prim,50,150,1,5.5360
Kruskal,50,150,1,25.6386
BFS,50,150,2,2.5037
DFS,50,150,2,0.0746
Dijkstra,50,150,2,0.2883
Prim,50,150,2,0.2091
Kruskal,50,150,2,2.7892
BFS,50,150,3,0.1395
DFS,50,150,3,0.0891
Dijkstra,50,150,3,0.3177
Prim,50,150,3,1.2577
Kruskal,50,150,3,0.6638
BFS,50,150,4,0.4322
DFS,50,150,4,0.1375
Dijkstra,50,150,4,0.2571
Prim,50,150,4,0.1387
Kruskal,50,150,4,0.3826
BFS,50,150,5,0.0976
DFS,50,150,5,0.0817
Dijkstra,50,150,5,1.5987
Prim,50,150,5,0.2539
Kruskal,50,150,5,0.4181
BFS,100,300,1,1.3608
DFS,100,300,1,1.6257
Dijkstra,100,300,1,13.5314
Prim,100,300,1,0.4332
Kruskal,100,300,1,2.1061
BFS,100,300,2,0.5730
DFS,100,300,2,0.0771
Dijkstra,100,300,2,2.2257
Prim,100,300,2,0.3984
Kruskal,100,300,2,1.4586
BFS,100,300,3,0.2858
DFS,100,300,3,0.1570
Dijkstra,100,300,3,1.0011
Prim,100,300,3,0.4622
Kruskal,100,300,3,4.4685
BFS,100,300,4,0.1929
DFS,100,300,4,0.0865
Dijkstra,100,300,4,0.7563
Prim,100,300,4,1.1225
Kruskal,100,300,4,4.7134
BFS,100,300,5,0.1849
DFS,100,300,5,0.1226
Dijkstra,100,300,5,2.2229
Prim,100,300,5,0.4272
Kruskal,100,300,5,3.4147
BFS,200,600,1,0.5780
DFS,200,600,1,0.2051
Dijkstra,200,600,1,0.6737
Prim,200,600,1,6.1613
Kruskal,200,600,1,1.5776
BFS,200,600,2,0.5732
DFS,200,600,2,0.1751
Dijkstra,200,600,2,0.6164
Prim,200,600,2,1.3825
Kruskal,200,600,2,3.3693
BFS,200,600,3,0.3915
DFS,200,600,3,0.1569
Dijkstra,200,600,3,0.6215
Prim,200,600,3,1.1386
Kruskal,200,600,3,2.9723
BFS,200,600,4,0.4993
DFS,200,600,4,0.1480
Dijkstra,200,600,4,1.0859
Prim,200,600,4,0.4853
Kruskal,200,600,4,5.2299
BFS,200,600,5,0.5281
DFS,200,600,5,0.1626
Dijkstra,200,600,5,0.9119
Prim,200,600,5,3.3135
Kruskal,200,600,5,5.4727
BFS,500,1500,1,0.8263
DFS,500,1500,1,0.3738
Dijkstra,500,1500,1,2.7062
Prim,500,1500,1,1.9262
Kruskal,500,1500,1,3.5057
BFS,500,1500,2,1.5975
DFS,500,1500,2,0.3028
Dijkstra,500,1500,2,2.3497
Prim,500,1500,2,1.7077
Kruskal,500,1500,2,3.7241
BFS,500,1500,3,1.1242
DFS,500,1500,3,0.3356
Dijkstra,500,1500,3,1.8498
Prim,500,1500,3,1.1906
Kruskal,500,1500,3,20.1786
BFS,500,1500,4,9.8932
DFS,500,1500,4,4.3080
Dijkstra,500,1500,4,2.8899
Prim,500,1500,4,1.9257
Kruskal,500,1500,4,6.2271
BFS,500,1500,5,0.7032
DFS,500,1500,5,0.2328
Dijkstra,500,1500,5,4.1971
Prim,500,1500,5,1.6125
Kruskal,500,1500,5,5.3058
