operation,input_size,run,time_ms
insert,100,1,0.0893
extractAll,100,1,0.1960
insert,100,2,0.0603
extractAll,100,2,0.1840
insert,100,3,0.0808
extractAll,100,3,0.4980
insert,100,4,0.1051
extractAll,100,4,0.1451
insert,100,5,0.0852
extractAll,100,5,0.1655
insert,500,1,0.3635
extractAll,500,1,2.7883
insert,500,2,0.7031
extractAll,500,2,0.8654
insert,500,3,0.1628
extractAll,500,3,0.3981
insert,500,4,0.1273
extractAll,500,4,0.3956
insert,500,5,0.1333
extractAll,500,5,0.3885
insert,1000,1,0.1894
extractAll,1000,1,0.4650
insert,1000,2,0.1156
extractAll,1000,2,3.1570
insert,1000,3,0.2286
extractAll,1000,3,0.8117
insert,1000,4,0.2121
extractAll,1000,4,0.7583
insert,1000,5,0.2101
extractAll,1000,5,0.6639
insert,5000,1,0.8959
extractAll,5000,1,6.2681
insert,5000,2,0.9991
extractAll,5000,2,37.4991
insert,5000,3,1.3041
extractAll,5000,3,2.1906
insert,5000,4,0.5564
extractAll,5000,4,2.7765
insert,5000,5,0.6985
extractAll,5000,5,2.5515
insert,10000,1,3.3948
extractAll,10000,1,5.7650
insert,10000,2,0.8767
extractAll,10000,2,7.3248
insert,10000,3,2.5570
extractAll,10000,3,3.5277
insert,10000,4,0.7036
extractAll,10000,4,5.7412
insert,10000,5,0.6446
extractAll,10000,5,7.7688
insert,20000,1,2.2235
extractAll,20000,1,20.6754
insert,20000,2,1.2261
extractAll,20000,2,9.3422
insert,20000,3,3.3680
extractAll,20000,3,14.4105
insert,20000,4,4.8886
extractAll,20000,4,12.7646
insert,20000,5,1.9835
extractAll,20000,5,10.5434
