location_id,name,area,location_type,x_coord,y_coord
0,Legon Main Gate,Legon,Campus zone,5.604526756733229,-0.21229015573394494
1,Balme Library,Legon,Campus zone,5.610299807589949,-0.17862238864272817
2,Commonwealth Hall,Legon,Campus zone,5.637863134534455,-0.15761285319272306
3,Volta Hall,Legon,Campus zone,5.629991853126283,-0.18939889733282228
4,Akuafo Hall,Legon,Campus zone,5.677418648119576,-0.2069122759840053
5,Mensah Sarbah Hall,Legon,Campus zone,5.6764553765278185,-0.2176342497560008
6,Legon Police,Legon,Campus zone,5.667147789176304,-0.15699840407525445
7,University Hospital,Legon,Campus zone,5.677707929569008,-0.20436100271398228
8,Night Market,Legon,Campus zone,5.634008511128822,-0.2012425068817488
9,Bush Canteen,Legon,Campus zone,5.603898087615908,-0.18469791523692233
10,Okponglo Junction,Legon,Campus zone,5.6707078917843345,-0.17736955999992612
11,Legon Hall,Legon,Campus zone,5.675524190469549,-0.16993583552192987
12,Great Hall,Legon,Campus zone,5.67179688632637,-0.21996493143893042
13,UG Stadium,Legon,Campus zone,5.64809906049546,-0.1810358722282524
14,Computer Science,Legon,Campus zone,5.636046268169576,-0.19357182449794116
15,Noguchi Institute,Legon,Campus zone,5.662481932791002,-0.179064752002963
16,College of Education,Legon,Campus zone,5.671239042017787,-0.18592779145861799
17,School of Law,Legon,Campus zone,5.66455187541506,-0.22051411513640123
18,UG Basic School,Legon,Campus zone,5.643217679184945,-0.18206055744514668
19,Pentagon Hostel,Legon,Campus zone,5.674850160340798,-0.16537244168483917
20,Bani Hostel,Legon,Campus zone,5.619227708265668,-0.21863522760615395
21,Evandy Hostel,Legon,Campus zone,5.628272160367099,-0.16324009402236705
22,Kofi Annan ICT,Legon,Campus zone,5.626302270465436,-0.19411684339687427
23,UG Fire Station,Legon,Campus zone,5.66584244142204,-0.17769991853898337
24,Botanical Gardens,Legon,Campus zone,5.658635393557059,-0.2039841455817564
25,Atomic Junction,Greater Accra,Feeder zone,5.645059878150652,-0.18157764603014775
26,Presec Legon,Greater Accra,Feeder zone,5.60359487641856,-0.18140222587998883
27,American House,Greater Accra,Feeder zone,5.602252738495241,-0.20564827478458692
28,Shiashie,Greater Accra,Feeder zone,5.654228769280827,-0.1524336966740652
29,East Legon,Greater Accra,Feeder zone,5.669836797104508,-0.19076643590637532
30,Madina Station,Greater Accra,Feeder zone,5.636822608341113,-0.2010398047131362
31,Adenta Barrier,Greater Accra,Feeder zone,5.643322665729037,-0.21832067138329245
32,Achimota Forest,Greater Accra,Feeder zone,5.625267615816993,-0.2027948666363794
33,Haatso,Greater Accra,Feeder zone,5.647371671275415,-0.17633337295434723
34,Ayawaso,Greater Accra,Feeder zone,5.679703292734949,-0.16740920743327165
35,Nungua Barrier,Greater Accra,Feeder zone,5.607152702142075,-0.1784500652011831
36,Tetteh Quarshie,Greater Accra,Feeder zone,5.615100856524645,-0.2288277034841896
37,37 Station,Greater Accra,Feeder zone,5.610705609592974,-0.21048352630387884
38,Airport Residential,Greater Accra,Feeder zone,5.656157209367359,-0.21784291819039137
39,Accra Mall,Greater Accra,Feeder zone,5.669969844228851,-0.17410018443769792
40,A&C Mall,Greater Accra,Feeder zone,5.668072139455804,-0.1858336298759892
41,Dzorwulu,Greater Accra,Feeder zone,5.612590138954577,-0.20965803147014744
42,Roman Ridge,Greater Accra,Feeder zone,5.6484846659424575,-0.17941148889761752
43,Ashaley Botwe,Greater Accra,Feeder zone,5.623564203717965,-0.15012724335749378
44,West Legon,Greater Accra,Feeder zone,5.644047515135555,-0.1544304070348013
45,Dome,Greater Accra,Feeder zone,5.625250461653491,-0.18544649398969854
46,Kwabenya,Greater Accra,Feeder zone,5.615821875022431,-0.20398510109739748
47,Pantang,Greater Accra,Feeder zone,5.6362070564092965,-0.2215899037525516
48,Abokobi,Greater Accra,Feeder zone,5.660877657718866,-0.2186971917000806
49,Adenta,Greater Accra,Feeder zone,5.643786415033694,-0.20104137416608794
