road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight
0,0,1,1.3187669469006202,19,4
1,1,0,5.236283164530095,7,2
2,1,2,6.510717965252546,34,2
3,2,1,1.852362009548405,18,4
4,2,3,7.14335262163223,19,2
5,3,2,3.6507544190621104,19,1
6,3,4,2.1243500861702085,13,4
7,4,3,7.162732514736324,11,3
8,4,5,8.840941378392639,22,4
9,5,4,5.636618132101981,24,3
10,5,6,3.9897801727935818,27,1
11,6,5,8.32914532819057,19,3
12,6,7,7.165796254735943,8,4
13,7,6,7.088152365000368,28,4
14,7,8,7.5110525050373145,21,3
15,8,7,4.281532937275273,23,1
16,8,9,8.294945231343267,21,1
17,9,8,5.822692024276783,5,4
18,9,10,7.117397831078382,33,1
19,10,9,4.98806221925386,24,1
20,10,11,8.497011681369727,23,3
21,11,10,4.917550429442337,29,2
22,11,12,4.926447818836347,34,1
23,12,11,2.1340961255630386,27,2
24,12,13,6.047628171693164,11,1
25,13,12,4.113835263679317,17,2
26,13,14,3.4196582088342007,30,1
27,14,13,4.883676696571965,32,1
28,14,15,6.422680656787212,31,4
29,15,14,1.8184100980735387,15,1
30,15,16,5.16118873734244,22,3
31,16,15,4.2547767381217465,29,3
32,16,17,4.800635500161531,6,1
33,17,16,8.235248895200407,34,4
34,17,18,4.59148923981351,32,1
35,18,17,3.6395707395935935,26,4
36,18,19,3.9051989270914653,18,2
37,19,18,8.157435815248867,17,3
38,19,20,6.926843997020479,6,3
39,20,19,7.000975881474815,24,4
40,20,21,7.219557350068812,33,2
41,21,20,5.951060651111821,21,2
42,21,22,7.196121766953796,8,3
43,22,21,2.276712460473429,31,4
44,22,23,1.6034513297420903,29,4
45,23,22,7.262255957139428,24,4
46,23,24,8.445985055006098,30,1
47,24,23,3.5221338052901983,10,3
48,24,25,1.344329765034014,6,1
49,25,24,1.978632218053015,18,4
50,25,26,8.145803025662058,26,3
51,26,25,1.3230755475406744,26,1
52,26,27,3.673837730855672,30,4
53,27,26,6.9763547981349,13,3
54,27,28,3.823525244106569,15,3
55,28,27,1.0099749765871442,6,1
56,28,29,3.780885093546904,12,2
57,29,28,5.184116096564208,10,4
58,29,30,6.963759280061408,29,2
59,30,29,2.2045090910755176,6,2
60,30,31,3.3525479515555503,20,4
61,31,30,3.495253622757441,18,2
62,31,32,8.19930727610112,17,1
63,32,31,7.230002493169587,28,1
64,32,33,4.6740519984383395,9,3
65,33,32,2.0592609206776196,33,4
66,33,34,6.827408744688053,15,4
67,34,33,3.916855466812363,28,4
68,34,35,8.319087292696366,27,1
69,35,34,5.483943426877562,21,3
70,35,36,3.681940702666064,28,3
71,36,35,6.334240942216505,27,2
72,36,37,2.461706213736952,6,4
73,37,36,8.479469469496589,32,2
74,37,38,2.392824612824704,24,2
75,38,37,6.979320866727484,31,1
76,38,39,5.8410521215215425,26,3
77,39,38,2.4755653339300636,9,4
78,39,40,2.063890227994426,8,3
79,40,39,7.955232055168304,18,4
80,40,41,4.410171035633246,31,3
81,41,40,3.7431049004142434,22,1
82,41,42,6.40044765502862,18,4
83,42,41,4.669092933879126,28,3
84,42,43,7.700154983811924,12,1
85,43,42,1.55134343489698,19,3
86,43,44,4.317813859831105,29,1
87,44,43,5.581277615677264,26,1
88,44,45,4.930867249527865,30,3
89,45,44,6.892046813297114,14,3
90,45,46,7.062049281923955,33,2
91,46,45,5.537211521369196,27,3
92,46,47,2.8994998971766526,5,2
93,47,46,8.301765104871997,28,3
94,47,48,4.874149766435321,17,2
95,48,47,8.21293456780758,18,2
96,48,49,1.6782137448615995,5,2
97,49,48,3.3134989933777,5,1
98,38,4,3.2056863169388112,19,1
99,12,23,5.36701497593331,17,1
