algorithm,input_size,run,time_ms
LinearSearch,100,1,1.2994
BinarySearch,100,1,1.5429
LinearSearch,100,2,0.0159
BinarySearch,100,2,0.0041
LinearSearch,100,3,0.0087
BinarySearch,100,3,0.0044
LinearSearch,100,4,0.0202
BinarySearch,100,4,0.0068
LinearSearch,100,5,0.0104
BinarySearch,100,5,0.0029
LinearSearch,500,1,0.0424
BinarySearch,500,1,0.0039
LinearSearch,500,2,0.0807
BinarySearch,500,2,0.0066
LinearSearch,500,3,0.0389
BinarySearch,500,3,0.0061
LinearSearch,500,4,0.0391
BinarySearch,500,4,0.0058
LinearSearch,500,5,0.0350
BinarySearch,500,5,0.0069
LinearSearch,1000,1,0.0336
BinarySearch,1000,1,0.0075
LinearSearch,1000,2,0.0311
BinarySearch,1000,2,0.0052
LinearSearch,1000,3,0.0123
BinarySearch,1000,3,0.0044
LinearSearch,1000,4,0.0105
BinarySearch,1000,4,0.0026
LinearSearch,1000,5,0.0123
BinarySearch,1000,5,0.0024
LinearSearch,5000,1,0.1594
BinarySearch,5000,1,0.0049
LinearSearch,5000,2,0.1609
BinarySearch,5000,2,0.0034
LinearSearch,5000,3,0.1587
BinarySearch,5000,3,0.0029
LinearSearch,5000,4,0.3083
BinarySearch,5000,4,0.0053
LinearSearch,5000,5,0.2854
BinarySearch,5000,5,0.0054
LinearSearch,10000,1,1.4451
BinarySearch,10000,1,0.0082
LinearSearch,10000,2,1.1903
BinarySearch,10000,2,0.0043
LinearSearch,10000,3,0.3406
BinarySearch,10000,3,0.0078
LinearSearch,10000,4,5.7877
BinarySearch,10000,4,0.0066
LinearSearch,10000,5,0.7206
BinarySearch,10000,5,0.0088
