algorithm,input_size,run,time_ms
SelectionSort,100,1,1.5567
InsertionSort,100,1,1.1759
MergeSort,100,1,0.7402
QuickSort,100,1,0.8154
SelectionSort,100,2,0.8714
InsertionSort,100,2,0.4944
MergeSort,100,2,0.3878
QuickSort,100,2,0.1071
SelectionSort,100,3,0.9028
InsertionSort,100,3,0.3515
MergeSort,100,3,0.1196
QuickSort,100,3,0.1749
SelectionSort,100,4,1.1678
InsertionSort,100,4,0.1851
MergeSort,100,4,0.0514
QuickSort,100,4,0.3991
SelectionSort,100,5,0.8129
InsertionSort,100,5,0.3907
MergeSort,100,5,0.0548
QuickSort,100,5,0.0990
SelectionSort,500,1,7.8854
InsertionSort,500,1,5.5815
MergeSort,500,1,0.3513
QuickSort,500,1,0.2021
SelectionSort,500,2,10.9982
InsertionSort,500,2,1.9028
MergeSort,500,2,0.2795
QuickSort,500,2,0.2323
SelectionSort,500,3,12.8940
InsertionSort,500,3,9.3942
MergeSort,500,3,2.0379
QuickSort,500,3,0.4312
SelectionSort,500,4,11.5782
InsertionSort,500,4,0.5292
MergeSort,500,4,1.7266
QuickSort,500,4,0.2373
SelectionSort,500,5,0.7235
InsertionSort,500,5,0.8677
MergeSort,500,5,1.4898
QuickSort,500,5,1.1492
SelectionSort,1000,1,2.5962
InsertionSort,1000,1,1.8289
MergeSort,1000,1,3.1804
QuickSort,1000,1,1.1782
SelectionSort,1000,2,2.6060
InsertionSort,1000,2,2.7555
MergeSort,1000,2,3.1499
QuickSort,1000,2,2.9026
SelectionSort,1000,3,2.6125
InsertionSort,1000,3,2.4596
MergeSort,1000,3,3.0745
QuickSort,1000,3,1.0924
SelectionSort,1000,4,2.4491
InsertionSort,1000,4,1.5215
MergeSort,1000,4,3.8085
QuickSort,1000,4,0.2871
SelectionSort,1000,5,2.5638
InsertionSort,1000,5,1.5901
MergeSort,1000,5,2.1637
QuickSort,1000,5,0.1217
SelectionSort,5000,1,44.4007
InsertionSort,5000,1,27.5349
MergeSort,5000,1,17.2393
QuickSort,5000,1,1.7193
SelectionSort,5000,2,41.5677
InsertionSort,5000,2,35.9092
MergeSort,5000,2,1.7333
QuickSort,5000,2,1.3613
SelectionSort,5000,3,42.0505
InsertionSort,5000,3,25.8761
MergeSort,5000,3,1.7624
QuickSort,5000,3,1.1288
SelectionSort,5000,4,47.9515
InsertionSort,5000,4,25.2022
MergeSort,5000,4,1.6896
QuickSort,5000,4,1.1385
SelectionSort,5000,5,43.5811
InsertionSort,5000,5,23.3705
MergeSort,5000,5,2.5007
QuickSort,5000,5,1.0152
SelectionSort,10000,1,185.5352
InsertionSort,10000,1,116.1859
MergeSort,10000,1,3.7937
QuickSort,10000,1,3.3320
SelectionSort,10000,2,198.7871
InsertionSort,10000,2,102.1678
MergeSort,10000,2,2.8136
QuickSort,10000,2,2.3892
SelectionSort,10000,3,197.4010
InsertionSort,10000,3,92.0205
MergeSort,10000,3,3.5465
QuickSort,10000,3,1.6802
SelectionSort,10000,4,188.8265
InsertionSort,10000,4,96.9328
MergeSort,10000,4,3.6344
QuickSort,10000,4,2.7479
SelectionSort,10000,5,193.1229
InsertionSort,10000,5,104.7779
MergeSort,10000,5,3.7864
QuickSort,10000,5,2.0051
