tree_type,input_size,run,insert_ms,search_ms,height
BST,100,1,1.7075,0.0097,11
RedBlackTree,100,1,2.7387,0.0084,8
BST,100,2,0.0977,0.0033,12
RedBlackTree,100,2,0.1750,0.0025,8
BST,100,3,0.0406,0.0021,12
RedBlackTree,100,3,0.3513,0.0023,8
BST,100,4,0.0698,0.0016,13
RedBlackTree,100,4,0.1646,0.0020,8
BST,100,5,0.0402,0.0021,15
RedBlackTree,100,5,0.1831,0.0018,8
BST,500,1,0.3486,0.0039,21
RedBlackTree,500,1,0.5646,0.0031,11
BST,500,2,0.2487,0.0034,19
RedBlackTree,500,2,1.4094,0.0041,11
BST,500,3,2.1907,0.0070,17
RedBlackTree,500,3,0.2360,0.0038,11
BST,500,4,0.2300,0.0035,18
RedBlackTree,500,4,0.2431,0.0028,11
BST,500,5,0.2448,0.0035,19
RedBlackTree,500,5,0.2713,0.0030,11
BST,1000,1,0.4413,0.0037,21
RedBlackTree,1000,1,0.4773,0.0032,12
BST,1000,2,0.2831,0.0042,21
RedBlackTree,1000,2,0.4785,0.0050,12
BST,1000,3,0.2457,0.0052,22
RedBlackTree,1000,3,0.5292,0.0044,12
BST,1000,4,0.2726,0.0044,21
RedBlackTree,1000,4,0.4966,0.0082,12
BST,1000,5,0.2327,0.0034,20
RedBlackTree,1000,5,2.0329,0.0071,12
BST,5000,1,1.6426,0.0063,29
RedBlackTree,5000,1,3.6506,0.0058,15
BST,5000,2,1.4924,0.0075,34
RedBlackTree,5000,2,2.3045,0.0062,15
BST,5000,3,1.7441,0.0071,29
RedBlackTree,5000,3,1.5881,0.0062,15
BST,5000,4,13.3150,0.0074,33
RedBlackTree,5000,4,1.4057,0.0044,15
BST,5000,5,2.3415,0.0125,30
RedBlackTree,5000,5,22.2578,0.0782,15
BST,10000,1,5.4336,0.0510,30
RedBlackTree,10000,1,2.7423,0.0077,16
BST,10000,2,3.3311,0.0058,34
RedBlackTree,10000,2,2.1657,0.0063,16
BST,10000,3,1.9265,0.0044,32
RedBlackTree,10000,3,3.7037,0.0069,16
BST,10000,4,3.4308,0.0077,26
RedBlackTree,10000,4,3.7383,0.0054,16
BST,10000,5,2.1515,0.0053,31
RedBlackTree,10000,5,2.2073,0.0130,16
