1,Cable truck,0,2,BUSY,Cable Truck 01
2,Transformer crew,1,3,AVAILABLE,Transformer Crew 01
5,Transformer crew,4,2,BUSY,Transformer Crew 02
7,Cable truck,6,4,AVAILABLE,Cable Truck 03
9,Meter team,8,2,BUSY,Meter Team 03
10,Cable truck,9,3,AVAILABLE,Cable Truck 04
11,Transformer crew,10,4,AVAILABLE,Transformer Crew 04
13,Cable truck,12,2,BUSY,Cable Truck 05
14,Transformer crew,13,3,AVAILABLE,Transformer Crew 05
17,Transformer crew,16,2,BUSY,Transformer Crew 06
18,Meter team,17,3,AVAILABLE,Meter Team 06
19,Cable truck,18,4,AVAILABLE,Cable Truck 07
21,Meter team,20,2,BUSY,Meter Team 07
22,Cable truck,21,3,AVAILABLE,Cable Truck 08
23,Transformer crew,22,4,AVAILABLE,Transformer Crew 08
25,Cable truck,24,2,BUSY,Cable Truck 09
26,Transformer crew,25,3,AVAILABLE,Transformer Crew 09
29,Transformer crew,28,2,BUSY,Transformer Crew 10
30,Meter team,29,3,AVAILABLE,Meter Team 10
12,Meter team,11,5,BUSY,Meter Team 04
24,Meter team,23,5,BUSY,Meter Team 08
3,Meter team,2,4,BUSY,Meter Team 01
4,Cable truck,3,5,BUSY,Cable Truck 02
15,Meter team,14,4,BUSY,Meter Team 05
20,Transformer crew,19,5,AVAILABLE,Transformer Crew 07
27,Meter team,26,4,BUSY,Meter Team 09
28,Cable truck,27,5,BUSY,Cable Truck 10
16,Cable truck,15,5,BUSY,Cable Truck 06
8,Transformer crew,7,5,BUSY,Transformer Crew 03
6,Meter team,5,3,BUSY,Meter Team 02
